set_name,slider_name,slider_start_value,slider_future_value,output_gquery
Aardgasvrij individueel,buildings_space_heater_district_heating_ht_steam_hot_water_share,,0,total_net_co2_emissions
Aardgasvrij individueel,buildings_space_heater_district_heating_lt_steam_hot_water_share,,0,total_net_co2_emissions
Aardgasvrij individueel,buildings_space_heater_district_heating_mt_steam_hot_water_share,,0,total_net_co2_emissions
Aardgasvrij individueel,buildings_space_heater_electricity_share,,0,total_net_co2_emissions
Aardgasvrij individueel,buildings_space_heater_heatpump_air_water_network_gas_share,,0,total_net_co2_emissions
Aardgasvrij individueel,buildings_space_heater_heatpump_surface_water_water_ts_electricity_share,,0,total_net_co2_emissions
Aardgasvrij individueel,buildings_space_heater_hybrid_heatpump_air_water_electricity_share,,0,total_net_co2_emissions
Aardgasvrij individueel,buildings_space_heater_hybrid_hydrogen_heatpump_air_water_electricity_share,,0,total_net_co2_emissions
Aardgasvrij individueel,buildings_space_heater_network_gas_share,,0,total_net_co2_emissions
Aardgasvrij collectief,buildings_space_heater_wood_pellets_share,,0,total_net_co2_emissions
Aardgasvrij collectief,capacity_of_energy_heat_heatpump_water_water_mt_electricity,,418,total_net_co2_emissions
Aardgasvrij collectief,households_heater_heatpump_air_water_electricity_share,,0,total_net_co2_emissions
Aardgasvrij collectief,households_heater_combined_hydrogen_share,,0,total_net_co2_emissions
Aardgasvrij collectief,households_heater_combined_network_gas_share,,0,total_net_co2_emissions
Aardgasvrij collectief,households_heater_district_heating_ht_steam_hot_water_share,,0,total_net_co2_emissions
Aardgasvrij collectief,households_heater_district_heating_lt_steam_hot_water_share,,0,total_net_co2_emissions
Aardgasvrij collectief,households_heater_district_heating_mt_steam_hot_water_share,,100,total_net_co2_emissions
Aardgasvrij collectief,households_heater_electricity_share,,0,total_net_co2_emissions
Aardgasvrij collectief,households_heater_heatpump_ground_water_electricity_share,,0,total_net_co2_emissions
Aardgasvrij collectief,households_heater_heatpump_pvt_electricity_share,,0,total_net_co2_emissions
Aardgasvrij collectief,households_heater_heatpump_surface_water_water_ts_electricity_share,,0,total_net_co2_emissions
Aardgasvrij collectief,households_heater_hybrid_heatpump_air_water_electricity_share,,0,total_net_co2_emissions
Aardgasvrij collectief,households_heater_hybrid_hydrogen_heatpump_air_water_electricity_share,,0,total_net_co2_emissions
Aardgasvrij collectief,households_heater_network_gas_share,,0,total_net_co2_emissions
Aardgasvrij collectief,households_heater_wood_pellets_share,,0,total_net_co2_emissions
Aardgasvrij collectief,buildings_space_heater_collective_heatpump_water_water_ts_electricity_share,,0,total_net_co2_emissions
Aardgasvrij collectief,buildings_space_heater_heatpump_air_water_electricity_share,,0,total_net_co2_emissions
Aardgasvrij collectief,buildings_space_heater_combined_hydrogen_share,,0,total_net_co2_emissions
Aardgasvrij collectief,buildings_space_heater_district_heating_ht_steam_hot_water_share,,0,total_net_co2_emissions
Aardgasvrij collectief,buildings_space_heater_district_heating_lt_steam_hot_water_share,,0,total_net_co2_emissions
Aardgasvrij collectief,buildings_space_heater_district_heating_mt_steam_hot_water_share,,100,total_net_co2_emissions
Aardgasvrij collectief,buildings_space_heater_electricity_share,,0,total_net_co2_emissions
Aardgasvrij collectief,buildings_space_heater_heatpump_air_water_network_gas_share,,0,total_net_co2_emissions
Aardgasvrij collectief,buildings_space_heater_heatpump_surface_water_water_ts_electricity_share,,0,total_net_co2_emissions
Aardgasvrij collectief,buildings_space_heater_hybrid_heatpump_air_water_electricity_share,,0,total_net_co2_emissions
Aardgasvrij collectief,buildings_space_heater_hybrid_hydrogen_heatpump_air_water_electricity_share,,0,total_net_co2_emissions
Aardgasvrij collectief,buildings_space_heater_network_gas_share,,0,total_net_co2_emissions
Aardgasvrij collectief,buildings_space_heater_wood_pellets_share,,0,total_net_co2_emissions
Gebouwen beter isoleren,buildings_insulation_level_buildings_present,,25,total_net_co2_emissions
Gebouwen beter isoleren,households_insulation_level_apartments_1945_1964,,25,total_net_co2_emissions
Gebouwen beter isoleren,households_insulation_level_apartments_1965_1984,,25,total_net_co2_emissions
Gebouwen beter isoleren,households_insulation_level_apartments_1985_2004,,25,total_net_co2_emissions
Gebouwen beter isoleren,households_insulation_level_apartments_2005_present,,25,total_net_co2_emissions
Gebouwen beter isoleren,households_insulation_level_apartments_before_1945,,25,total_net_co2_emissions
Gebouwen beter isoleren,households_insulation_level_detached_houses_1945_1964,,25,total_net_co2_emissions
Gebouwen beter isoleren,households_insulation_level_detached_houses_1965_1984,,25,total_net_co2_emissions
Gebouwen beter isoleren,households_insulation_level_detached_houses_1985_2004,,25,total_net_co2_emissions
Gebouwen beter isoleren,households_insulation_level_detached_houses_2005_present,,25,total_net_co2_emissions
Gebouwen beter isoleren,households_insulation_level_detached_houses_before_1945,,25,total_net_co2_emissions
Gebouwen beter isoleren,households_insulation_level_semi_detached_houses_1945_1964,,25,total_net_co2_emissions
Gebouwen beter isoleren,households_insulation_level_semi_detached_houses_1965_1984,,25,total_net_co2_emissions
Gebouwen beter isoleren,households_insulation_level_semi_detached_houses_1985_2004,,25,total_net_co2_emissions
Gebouwen beter isoleren,households_insulation_level_semi_detached_houses_2005_present,,25,total_net_co2_emissions
Gebouwen beter isoleren,households_insulation_level_semi_detached_houses_before_1945,,25,total_net_co2_emissions
Gebouwen beter isoleren,households_insulation_level_terraced_houses_1945_1964,,25,total_net_co2_emissions
Gebouwen beter isoleren,households_insulation_level_terraced_houses_1965_1984,,25,total_net_co2_emissions
Gebouwen beter isoleren,households_insulation_level_terraced_houses_1985_2004,,25,total_net_co2_emissions
Gebouwen beter isoleren,households_insulation_level_terraced_houses_2005_present,,25,total_net_co2_emissions
Gebouwen beter isoleren,households_insulation_level_terraced_houses_before_1945,,25,total_net_co2_emissions
Gedragsaanpassing bewoners,households_useful_demand_cooking_per_person,,-2.5,total_net_co2_emissions
Gedragsaanpassing bewoners,households_useful_demand_electric_appliances,,-2.5,total_net_co2_emissions
Gedragsaanpassing bewoners,households_useful_demand_for_cooling,,-2.5,total_net_co2_emissions
Gedragsaanpassing bewoners,households_useful_demand_hot_water_share,,-2.5,total_net_co2_emissions
Gedragsaanpassing bewoners,households_useful_demand_lighting,,-2.5,total_net_co2_emissions
Industrie & bedrijven verduurzamen,buildings_useful_demand_cooling,,-2.5,total_net_co2_emissions
Industrie & bedrijven verduurzamen,buildings_useful_demand_electricity,,-2.5,total_net_co2_emissions
Industrie & bedrijven verduurzamen,industry_other_food_heater_electricity_share,,39.4,total_net_co2_emissions
Industrie & bedrijven verduurzamen,industry_other_food_burner_network_gas_share,,60.6,total_net_co2_emissions
Basisscenario,capacity_of_energy_power_solar_pv_solar_radiation,,,total_net_co2_emissions
Basisscenario,flh_of_solar_pv_solar_radiation,,916.7045888,total_net_co2_emissions
Basisscenario,capacity_of_households_solar_pv_solar_radiation,,,total_net_co2_emissions
Basisscenario,capacity_of_buildings_solar_pv_solar_radiation,,,total_net_co2_emissions
Basisscenario,flh_of_solar_pv_solar_radiation,,916.7045888,total_net_co2_emissions
Basisscenario,capacity_of_energy_power_wind_turbine_inland,,,total_net_co2_emissions
Basisscenario,flh_of_energy_power_wind_turbine_inland,,3381.26896,total_net_co2_emissions
Basisscenario,capacity_of_energy_power_wind_turbine_inland,,,total_net_co2_emissions
Basisscenario,flh_of_energy_power_wind_turbine_inland,,3381.26896,total_net_co2_emissions
Basisscenario,households_heater_heatpump_air_water_electricity_share,,,total_net_co2_emissions
Basisscenario,households_heater_combined_hydrogen_share,,,total_net_co2_emissions
Basisscenario,households_heater_combined_network_gas_share,,,total_net_co2_emissions
Basisscenario,households_heater_district_heating_ht_steam_hot_water_share,,,total_net_co2_emissions
Basisscenario,households_heater_district_heating_lt_steam_hot_water_share,,,total_net_co2_emissions
Basisscenario,households_heater_district_heating_mt_steam_hot_water_share,,,total_net_co2_emissions
Basisscenario,households_heater_electricity_share,,,total_net_co2_emissions
Basisscenario,households_heater_heatpump_ground_water_electricity_share,,,total_net_co2_emissions
Basisscenario,households_heater_heatpump_pvt_electricity_share,,,total_net_co2_emissions
Basisscenario,households_heater_heatpump_surface_water_water_ts_electricity_share,,,total_net_co2_emissions
Basisscenario,households_heater_hybrid_heatpump_air_water_electricity_share,,,total_net_co2_emissions
Basisscenario,households_heater_hybrid_hydrogen_heatpump_air_water_electricity_share,,,total_net_co2_emissions
Basisscenario,households_heater_network_gas_share,,,total_net_co2_emissions
Basisscenario,households_heater_wood_pellets_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_collective_heatpump_water_water_ts_electricity_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_heatpump_air_water_electricity_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_combined_hydrogen_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_district_heating_ht_steam_hot_water_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_district_heating_lt_steam_hot_water_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_district_heating_mt_steam_hot_water_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_electricity_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_heatpump_air_water_network_gas_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_heatpump_surface_water_water_ts_electricity_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_hybrid_heatpump_air_water_electricity_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_hybrid_hydrogen_heatpump_air_water_electricity_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_network_gas_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_wood_pellets_share,,,total_net_co2_emissions
Basisscenario,capacity_of_energy_heat_heatpump_water_water_mt_electricity,,,total_net_co2_emissions
Basisscenario,households_heater_heatpump_air_water_electricity_share,,,total_net_co2_emissions
Basisscenario,households_heater_combined_hydrogen_share,,,total_net_co2_emissions
Basisscenario,households_heater_combined_network_gas_share,,,total_net_co2_emissions
Basisscenario,households_heater_district_heating_ht_steam_hot_water_share,,,total_net_co2_emissions
Basisscenario,households_heater_district_heating_lt_steam_hot_water_share,,,total_net_co2_emissions
Basisscenario,households_heater_district_heating_mt_steam_hot_water_share,,,total_net_co2_emissions
Basisscenario,households_heater_electricity_share,,,total_net_co2_emissions
Basisscenario,households_heater_heatpump_ground_water_electricity_share,,,total_net_co2_emissions
Basisscenario,households_heater_heatpump_pvt_electricity_share,,,total_net_co2_emissions
Basisscenario,households_heater_heatpump_surface_water_water_ts_electricity_share,,,total_net_co2_emissions
Basisscenario,households_heater_hybrid_heatpump_air_water_electricity_share,,,total_net_co2_emissions
Basisscenario,households_heater_hybrid_hydrogen_heatpump_air_water_electricity_share,,,total_net_co2_emissions
Basisscenario,households_heater_network_gas_share,,,total_net_co2_emissions
Basisscenario,households_heater_wood_pellets_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_collective_heatpump_water_water_ts_electricity_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_heatpump_air_water_electricity_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_combined_hydrogen_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_district_heating_ht_steam_hot_water_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_district_heating_lt_steam_hot_water_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_district_heating_mt_steam_hot_water_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_electricity_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_heatpump_air_water_network_gas_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_heatpump_surface_water_water_ts_electricity_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_hybrid_heatpump_air_water_electricity_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_hybrid_hydrogen_heatpump_air_water_electricity_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_network_gas_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_wood_pellets_share,,,total_net_co2_emissions
Basisscenario,buildings_insulation_level_buildings_present,,,total_net_co2_emissions
Basisscenario,households_insulation_level_apartments_1945_1964,,,total_net_co2_emissions
Basisscenario,households_insulation_level_apartments_1965_1984,,,total_net_co2_emissions
Basisscenario,households_insulation_level_apartments_1985_2004,,,total_net_co2_emissions
Basisscenario,households_insulation_level_apartments_2005_present,,,total_net_co2_emissions
Basisscenario,households_insulation_level_apartments_before_1945,,,total_net_co2_emissions
Basisscenario,households_insulation_level_apartments_future,,,total_net_co2_emissions
Basisscenario,households_insulation_level_detached_houses_1945_1964,,,total_net_co2_emissions
Basisscenario,households_insulation_level_detached_houses_1965_1984,,,total_net_co2_emissions
Basisscenario,households_insulation_level_detached_houses_1985_2004,,,total_net_co2_emissions
Basisscenario,households_insulation_level_detached_houses_2005_present,,,total_net_co2_emissions
Basisscenario,households_insulation_level_detached_houses_before_1945,,,total_net_co2_emissions
Basisscenario,households_insulation_level_detached_houses_future,,,total_net_co2_emissions
Basisscenario,households_insulation_level_semi_detached_houses_1945_1964,,,total_net_co2_emissions
Basisscenario,households_insulation_level_semi_detached_houses_1965_1984,,,total_net_co2_emissions
Basisscenario,households_insulation_level_semi_detached_houses_1985_2004,,,total_net_co2_emissions
Basisscenario,households_insulation_level_semi_detached_houses_2005_present,,,total_net_co2_emissions
Basisscenario,households_insulation_level_semi_detached_houses_before_1945,,,total_net_co2_emissions
Basisscenario,households_insulation_level_semi_detached_houses_future,,,total_net_co2_emissions
Basisscenario,households_insulation_level_terraced_houses_1945_1964,,,total_net_co2_emissions
Basisscenario,households_insulation_level_terraced_houses_1965_1984,,,total_net_co2_emissions
Basisscenario,households_insulation_level_terraced_houses_1985_2004,,,total_net_co2_emissions
Basisscenario,households_insulation_level_terraced_houses_2005_present,,,total_net_co2_emissions
Basisscenario,households_insulation_level_terraced_houses_before_1945,,,total_net_co2_emissions
Basisscenario,households_useful_demand_cooking_per_person,,,total_net_co2_emissions
Basisscenario,households_useful_demand_electric_appliances,,,total_net_co2_emissions
Basisscenario,households_useful_demand_for_cooling,,,total_net_co2_emissions
Basisscenario,households_useful_demand_hot_water_share,,,total_net_co2_emissions
Basisscenario,households_useful_demand_lighting,,,total_net_co2_emissions
Basisscenario,buildings_useful_demand_cooling,,,total_net_co2_emissions
Basisscenario,buildings_useful_demand_electricity,,,total_net_co2_emissions
Basisscenario,industry_other_food_heater_electricity_share,,,total_net_co2_emissions
Basisscenario,industry_other_food_burner_network_gas_share,,,total_net_co2_emissions
