input,test_scen
industry_other_paper_burner_crude_oil_share,0
industry_other_paper_burner_hydrogen_share,25.7
industry_other_paper_burner_network_gas_share,0
industry_other_paper_burner_wood_pellets_share,0
industry_other_paper_heater_electricity_share,74.3
industry_steel_blastfurnace_bof_share,50
industry_steel_cyclonefurnace_bof_share,25
industry_steel_cyclonefurnace_bof_wood_pellets_share,0
industry_steel_dri_hydrogen_share,0
industry_steel_dri_network_gas_share,0
industry_steel_scrap_hbi_eaf_share,25
industry_useful_demand_for_chemical_refineries_electricity_efficiency,0
industry_useful_demand_for_chemical_refineries_useable_heat_efficiency,0
industry_useful_demand_for_other_food_electricity_efficiency,45.87540304
industry_useful_demand_for_other_food_useable_heat_efficiency,45.87540304
industry_useful_demand_for_other_ict,650
industry_useful_demand_for_other_ict_efficiency,36.96921873
industry_useful_demand_for_other_paper,100
industry_useful_demand_for_other_paper_electricity_efficiency,56.215918
industry_useful_demand_for_other_paper_useable_heat_efficiency,56.215918
investment_costs_combustion_biomass_plants,-31.81818182
investment_costs_combustion_gas_plant,0.133511348
investment_costs_combustion_hydrogen_plant,0
investment_costs_combustion_oil_plant,0
investment_costs_combustion_waste_incinerator,0
investment_costs_electric_heat_pumps,-49
investment_costs_energy_flexibility_hv_opac_electricity,0
investment_costs_energy_flexibility_mv_batteries_electricity,0
investment_costs_flexibility_p2h_electricity,1.694915254
investment_costs_gas_heat_pumps,0
investment_costs_geothermal,-88.39278805
investment_costs_households_flexibility_p2p_electricity,-72
investment_costs_hydrogen_electrolysis,-39
investment_costs_nuclear_nuclear_plant,-11.5
investment_costs_solar_solar_panels,-68.08266361
investment_costs_solar_thermal,0
investment_costs_water_river,-4
investment_costs_wind_offshore,-74.37211686
investment_costs_wind_onshore,-48.88569375
natural_gas_total_share,0
om_costs_combustion_biomass_plant,-84.45595855
om_costs_combustion_gas_plant,0
om_costs_combustion_hydrogen_plant,0
om_costs_combustion_oil_plant,0
om_costs_combustion_waste_incinerator,0
om_costs_geothermal,-39
om_costs_nuclear_nuclear_plant,57.2
om_costs_solar_thermal,0
om_costs_wind_offshore,-77.6161164
om_costs_wind_onshore,-63.86460663
other_useful_demand_electricity,-5
other_useful_demand_non_energetic,-5
other_useful_demand_useable_heat,-5
share_of_energy_steel_chemical_feedstock_coal_gas,0
share_of_energy_steel_energy_production_coal_gas,100
share_of_molecules_other_utilisation_delayed_emitted_co2,0
share_of_molecules_other_utilisation_delayed_indefinitely_co2,100
transport_bicycle_using_electricity_share,50
transport_bicycle_using_human_power_share,50
transport_bicycles_share,10.3
transport_bus_using_compressed_natural_gas_share,0
transport_bus_using_diesel_mix_share,0
transport_bus_using_electricity_share,75
transport_bus_using_gasoline_mix_share,0
transport_bus_using_hydrogen_share,25
transport_bus_using_lng_share,0
transport_busses_share,9.3
transport_car_using_compressed_natural_gas_share,0
transport_car_using_diesel_mix_share,0
transport_car_using_electricity_share,100
transport_car_using_gasoline_mix_share,0
transport_car_using_hydrogen_share,0
transport_car_using_lpg_share,0
transport_cars_share,60.6
transport_freight_train_using_diesel_mix_share,0
transport_freight_train_using_electricity_share,100
transport_freight_train_using_hydrogen_share,0
transport_freight_trains_share,2.6
transport_motorcycle_using_electricity_share,100
transport_motorcycle_using_gasoline_mix_share,0
transport_motorcycles_share,3.5
transport_passenger_train_using_coal_share,0
transport_passenger_train_using_diesel_mix_share,0
transport_passenger_train_using_electricity_share,100
transport_passenger_train_using_hydrogen_share,0
transport_passenger_trains_share,15.4
transport_plane_using_bio_ethanol_share,0
transport_plane_using_electricity_share,50
transport_plane_using_gasoline_share,0
transport_plane_using_hydrogen_share,50
transport_plane_using_kerosene_share,0
transport_planes_efficiency,0.8
transport_planes_share,0.1
transport_rail_mixer_diesel_biodiesel_share,100
transport_rail_mixer_diesel_diesel_share,0
transport_road_mixer_diesel_biodiesel_share,100
transport_road_mixer_diesel_diesel_share,0
transport_road_mixer_gasoline_ethanol_share,100
transport_road_mixer_gasoline_gasoline_share,0
transport_road_mixer_lng_bio_lng_share,100
transport_road_mixer_lng_lng_share,0
transport_ship_using_diesel_mix_share,0
transport_ship_using_electricity_share,75
transport_ship_using_hydrogen_share,0
transport_ship_using_lng_mix_share,25
transport_shipping_mixer_diesel_bio_lng_share,100
transport_shipping_mixer_diesel_biodiesel_share,0
transport_shipping_mixer_diesel_diesel_share,0
transport_shipping_mixer_diesel_heavy_fuel_oil_share,0
transport_shipping_mixer_diesel_lng_share,0
transport_shipping_mixer_lng_bio_lng_share,100
transport_shipping_mixer_lng_lng_share,0
transport_ships_efficiency,0.4
transport_ships_share,29.2
transport_trains_efficiency,0.1
transport_trams_share,0.8
transport_truck_using_compressed_natural_gas_share,0
transport_truck_using_diesel_mix_share,0
transport_truck_using_electricity_share,75
transport_truck_using_gasoline_mix_share,0
transport_truck_using_hydrogen_share,25
transport_truck_using_lng_mix_share,0
transport_trucks_share,67.5
transport_useful_demand_freight_tonne_kms,1
transport_useful_demand_passenger_kms,0.4
transport_van_using_compressed_natural_gas_share,0
transport_van_using_diesel_mix_share,0
transport_van_using_electricity_share,100
transport_van_using_gasoline_mix_share,0
transport_van_using_hydrogen_share,0
transport_van_using_lpg_share,0
transport_vans_share,0.7
transport_vehicle_combustion_engine_efficiency,0.4
transport_vehicle_using_electricity_efficiency,0.3
transport_vehicle_using_hydrogen_efficiency,0.3
volume_costs_energy_flexibility_flow_batteries_electricity,0
wta_of_energy_flexibility_flow_batteries_electricity,6.4
wta_of_energy_flexibility_hv_opac_electricity,10
wta_of_energy_flexibility_mv_batteries_electricity,10
wta_of_households_flexibility_p2p_electricity,10
wta_of_industry_chemical_flexibility_load_shifting_electricity,100
wta_of_industry_metal_flexibility_load_shifting_electricity,100
wta_of_industry_other_flexibility_load_shifting_electricity,100
wta_of_industry_other_ict_flexibility_load_shifting_electricity,100
wta_of_transport_car_flexibility_p2p_electricity,10
wtp_of_energy_flexibility_flow_batteries_electricity,4.5
wtp_of_energy_flexibility_hv_opac_electricity,5
wtp_of_energy_flexibility_mv_batteries_electricity,5
wtp_of_energy_heat_flexibility_p2h_boiler_electricity,25
wtp_of_energy_heat_flexibility_p2h_heatpump_electricity,25
wtp_of_energy_hydrogen_flexibility_p2g_electricity,30
wtp_of_households_flexibility_p2p_electricity,5
wtp_of_industry_chemicals_fertilizers_flexibility_p2h_electricity,25
wtp_of_industry_chemicals_other_flexibility_p2h_electricity,25
wtp_of_industry_chemicals_refineries_flexibility_p2h_electricity,25
wtp_of_industry_other_food_flexibility_p2h_electricity,25
wtp_of_industry_other_paper_flexibility_p2h_electricity,25
wtp_of_transport_car_flexibility_p2p_electricity,5
