"key","min","max","default","unit","disabled"
"efficiency_energy_power_ultra_supercritical_crude_oil",35.0,55.0,45.0,"%",true
"efficiency_energy_power_ultra_supercritical_network_gas",30.0,50.0,40.0,"%",true
"efficiency_households_flexibility_p2p_electricity",80.0,100.0,90.0,"%",true
"efficiency_households_space_heater_combined_hydrogen",90.0,118.0,110.00000000000001,"%",true
"efficiency_households_space_heater_combined_network_gas",90.0,111.0,107.0,"%",true
"efficiency_households_space_heater_crude_oil",70.0,100.0,85.0,"%",true
"efficiency_households_space_heater_electricity",90.0,100.0,100.0,"%",true
"efficiency_households_space_heater_heatpump_air_water_electricity",0.0,200.0,100.0,"%",true
"efficiency_households_space_heater_heatpump_ground_water_electricity",1.0,8.8,4.800000000000008,"COP",true
"efficiency_households_space_heater_hybrid_crude_oil_heatpump_air_water_electricity",0.0,200.0,100.0,"%",true
"efficiency_households_space_heater_hybrid_heatpump_air_water_electricity",0.0,200.0,100.0,"%",true
"efficiency_households_space_heater_hybrid_hydrogen_heatpump_air_water_electricity",0.0,200.0,100.0,"%",true
"efficiency_households_space_heater_network_gas",60.0,100.0,80.0,"%",true
"efficiency_households_space_heater_wood_pellets",72.0,92.0,82.0,"%",true
"efficiency_hydrogen_electrolysis",56.0,76.0,75.75757575757576,"%",true
"efficiency_industry_chp_combined_cycle_gas_power_fuelmix_electricity",0.0,100.0,43.3,"%",true
"efficiency_industry_chp_combined_cycle_gas_power_fuelmix_heat",0.0,100.0,30.5,"%",true
"efficiency_industry_chp_engine_gas_power_fuelmix_electricity",0.0,100.0,43.0,"%",true
"efficiency_industry_chp_engine_gas_power_fuelmix_heat",0.0,100.0,47.0,"%",true
"efficiency_industry_chp_turbine_gas_power_fuelmix_electricity",0.0,100.0,27.0,"%",true
"efficiency_industry_chp_turbine_gas_power_fuelmix_heat",0.0,100.0,35.0,"%",true
"efficiency_industry_chp_turbine_hydrogen_electricity",0.0,100.0,33.44481605351171,"%",true
"efficiency_industry_chp_turbine_hydrogen_heat",0.0,100.0,41.47157190635451,"%",true
"efficiency_industry_chp_ultra_supercritical_coal_electricity",0.0,100.0,40.0,"%",true
"efficiency_industry_chp_ultra_supercritical_coal_heat",0.0,100.0,15.0,"%",true
"efficiency_industry_chp_wood_pellets_electricity",0.0,100.0,18.3,"%",true
"efficiency_industry_chp_wood_pellets_heat",0.0,100.0,47.0,"%",true
"efficiency_transport_flexibility_p2p_electricity",77.0,97.0,87.0,"%",true
"investment_costs_ammonia_reforming",-100.0,300.0,26.769663034560242,"%",true
"investment_costs_co2_capture_industry",-100.0,300.0,0.0,"%",true
"investment_costs_co2_ccs",-100.0,300.0,-66.3461538461538,"%",true
"investment_costs_co2_storage",-100.0,300.0,0.0,"%",true
"investment_costs_co2_transport",-100.0,300.0,0.0,"%",true
"investment_costs_co2_utilisation",-100.0,300.0,0.0,"%",true
"investment_costs_combustion_biomass_plants",-100.0,300.0,-31.818182,"%",true
"investment_costs_combustion_coal_plant",-100.0,300.0,0.0,"%",true
"investment_costs_combustion_gas_plant",-100.0,300.0,0.13351135,"%",true
"investment_costs_combustion_hydrogen_plant",-100.0,300.0,0.0,"%",true
"investment_costs_combustion_oil_plant",-100.0,300.0,0.0,"%",true
"investment_costs_combustion_waste_incinerator",-100.0,300.0,0.0,"%",true
"investment_costs_electric_heat_pumps",-100.0,300.0,-49.0,"%",true
"investment_costs_electrolyzers",-100.0,300.0,0.0,"%",true
"investment_costs_energy_flexibility_hv_opac_electricity",-100.0,300.0,0.0,"%",true
"investment_costs_energy_flexibility_mv_batteries_electricity",-100.0,300.0,0.0,"%",true
"investment_costs_flexibility_p2h_electricity",-100.0,300.0,1.69491525,"%",true
"investment_costs_gas_heat_pumps",-100.0,300.0,0.0,"%",true
"investment_costs_geothermal",-100.0,300.0,-88.392788,"%",true
"investment_costs_households_flexibility_p2p_electricity",-100.0,300.0,-72.0,"%",true
"investment_costs_households_storage_space_heating",0.0,500.0,154.7368,"euro/kWh",true
"investment_costs_households_storage_water_heating",0.0,500.0,50.71375,"euro/kWh",true
"investment_costs_hydrogen_electrolysis",-100.0,300.0,56.901001695961554,"%",true
"investment_costs_nuclear_nuclear_plant",-100.0,300.0,-11.5,"%",true
"investment_costs_nuclear_small_modular_reactor",-100.0,300.0,0.0,"%",true
"investment_costs_solar_concentrated_solar_power",-100.0,300.0,0.0,"%",true
"investment_costs_solar_solar_panels",-100.0,300.0,-68.082664,"%",true
"investment_costs_solar_thermal",-100.0,300.0,0.0,"%",true
"investment_costs_water_mountains",-100.0,300.0,0.0,"%",true
"investment_costs_water_river",-100.0,300.0,-4.0,"%",true
"investment_costs_wind_offshore",-100.0,300.0,-74.372117,"%",true
"investment_costs_wind_onshore",-100.0,300.0,-48.885694,"%",true
"om_costs_co2_capture_industry",-100.0,300.0,0.0,"%",true
"om_costs_co2_ccs",-100.0,300.0,0.0,"%",true
"om_costs_co2_storage",-100.0,300.0,0.0,"%",true
"om_costs_co2_transport",-100.0,300.0,0.0,"%",true
"om_costs_co2_utilisation",-100.0,300.0,0.0,"%",true
"om_costs_combustion_biomass_plant",-100.0,300.0,-84.455959,"%",true
"om_costs_combustion_coal_plant",-100.0,300.0,0.0,"%",true
"om_costs_combustion_gas_plant",-100.0,300.0,0.0,"%",true
"om_costs_combustion_hydrogen_plant",-100.0,300.0,0.0,"%",true
"om_costs_combustion_oil_plant",-100.0,300.0,0.0,"%",true
"om_costs_combustion_waste_incinerator",-100.0,300.0,0.0,"%",true
"om_costs_geothermal",-100.0,300.0,-39.0,"%",true
"om_costs_nuclear_nuclear_plant",-100.0,300.0,57.2,"%",true
"om_costs_nuclear_small_modular_reactor",-100.0,300.0,0.0,"%",true
"om_costs_solar_thermal",-100.0,300.0,0.0,"%",true
"om_costs_water_mountains",-100.0,300.0,0.0,"%",true
"om_costs_water_river",-100.0,300.0,0.0,"%",true
"om_costs_wind_offshore",-100.0,300.0,-77.616116,"%",true
"om_costs_wind_onshore",-100.0,300.0,-63.864607,"%",true
"volume_costs_energy_flexibility_flow_batteries_electricity",-100.0,300.0,0.0,"%",true
"agriculture_burner_crude_oil_share",0.0,100.0,0.0,"%",true
"agriculture_burner_hydrogen_share",0.0,100.0,0.0,"%",true
"agriculture_burner_network_gas_share",0.0,100.0,1.73,"%",true
"agriculture_burner_wood_pellets_share",0.0,100.0,6.3,"%",true
"agriculture_final_demand_ht_central_steam_hot_water_share",0.0,100.0,0.0,"%",true
"agriculture_final_demand_local_steam_hot_water_share",0.0,100.0,4.0,"%",true
"agriculture_final_demand_mt_central_steam_hot_water_share",0.0,100.0,30.67,"%",true
"agriculture_geothermal_share",0.0,100.0,23.0,"%",true
"agriculture_heatpump_water_water_electricity_share",0.0,100.0,17.0,"%",true
"agriculture_heatpump_water_water_ts_electricity_share",0.0,100.0,17.3,"%",true
"agriculture_useful_demand_electricity",-10.0,10.0,0.35000000000000003,"%",true
"agriculture_useful_demand_useable_heat",-10.0,10.0,-1.67,"%",true
"capacity_of_agriculture_flexibility_p2h_electricity",0.0,6259.365608199489,184.0,"MW",true
"buildings_cooling_airconditioning_share",0.0,100.0,65.0,"%",true
"buildings_cooling_collective_heatpump_water_water_ts_electricity_share",0.0,100.0,35.0,"%",true
"buildings_cooling_heatpump_air_water_electricity_share",0.0,100.0,0.0,"%",true
"buildings_cooling_heatpump_air_water_network_gas_share",0.0,100.0,0.0,"%",true
"buildings_cooling_heatpump_surface_water_water_ts_electricity_share",0.0,100.0,0.0,"%",true
"buildings_space_heater_coal_share",0.0,100.0,0.0,"%",true
"buildings_space_heater_collective_heatpump_water_water_ts_electricity_share",0.0,100.0,22.5,"%",true
"buildings_space_heater_combined_hydrogen_share",0.0,100.0,0.0,"%",true
"buildings_space_heater_crude_oil_share",0.0,100.0,0.0,"%",true
"buildings_space_heater_district_heating_ht_steam_hot_water_share",0.0,100.0,0.0,"%",true
"buildings_space_heater_district_heating_lt_steam_hot_water_share",0.0,100.0,0.0,"%",true
"buildings_space_heater_district_heating_mt_steam_hot_water_share",0.0,100.0,20.0,"%",true
"buildings_space_heater_electricity_share",0.0,100.0,0.0,"%",true
"buildings_space_heater_heatpump_air_water_electricity_share",0.0,100.0,22.5,"%",true
"buildings_space_heater_heatpump_air_water_network_gas_share",0.0,100.0,0.0,"%",true
"buildings_space_heater_heatpump_surface_water_water_ts_electricity_share",0.0,100.0,0.0,"%",true
"buildings_space_heater_hybrid_crude_oil_heatpump_air_water_electricity_share",0.0,100.0,0.0,"%",true
"buildings_space_heater_hybrid_heatpump_air_water_electricity_share",0.0,100.0,35.0,"%",true
"buildings_space_heater_hybrid_hydrogen_heatpump_air_water_electricity_share",0.0,100.0,0.0,"%",true
"buildings_space_heater_network_gas_share",0.0,100.0,0.0,"%",true
"buildings_space_heater_solar_thermal_share",0.0,100.0,0.0,"%",true
"buildings_space_heater_wood_pellets_share",0.0,100.0,0.0,"%",true
"buildings_insulation_level_buildings_future",1.0,500.0,155.0,"kWh/m2",true
"buildings_insulation_level_buildings_present",1.0,500.0,210.0,"kWh/m2",true
"buildings_lighting_efficient_fluorescent_electricity_share",0.0,100.0,0.0,"%",true
"buildings_lighting_led_electricity_share",0.0,100.0,100.0,"%",true
"buildings_lighting_standard_fluorescent_electricity_share",0.0,100.0,0.0,"%",true
"buildings_lighting_savings_from_daylight_control_light",0.0,100.0,62.0,"%",true
"buildings_lighting_savings_from_motion_detection_light",0.0,100.0,69.0,"%",true
"buildings_useful_demand_cooling",-15.0,15.0,1.2,"%",true
"buildings_useful_demand_electricity",-5.0,5.0,0.0,"%",true
"buildings_useful_demand_for_appliances",0.0,5.0,1.5,"%",true
"buildings_number_of_buildings_future",0.0,912497.0,213902.0,"#",true
"buildings_number_of_buildings_present",0.0,912497.0,912497.0,"#",true
"bunkers_allocated_percentage_aviation",0.0,100.0,100.0,"%",true
"bunkers_allocated_percentage_shipping",0.0,100.0,63.0,"%",true
"bunkers_aviation_using_electricity_share",0.0,100.0,2.0,"%",true
"bunkers_aviation_using_hydrogen_share",0.0,100.0,20.0,"%",true
"bunkers_aviation_using_kerosene_mix_share",0.0,100.0,78.0,"%",true
"bunkers_plane_using_bio_kerosene_share",0.0,100.0,70.0,"%",true
"bunkers_plane_using_kerosene_share",0.0,100.0,30.0,"%",true
"bunkers_ship_using_ammonia_share",0.0,100.0,34.2,"%",true
"bunkers_ship_using_electricity_share",0.0,100.0,1.75,"%",true
"bunkers_ship_using_heavy_fuel_oil_share",0.0,100.0,29.85,"%",true
"bunkers_ship_using_hydrogen_share",0.0,100.0,9.8,"%",true
"bunkers_ship_using_lng_share",0.0,100.0,24.4,"%",true
"bunkers_useful_demand_planes",-10.0,10.0,0.0,"%",true
"bunkers_useful_demand_ships",-5.0,5.0,0.0,"%",true
"volume_of_baseload_export_ammonia",0.0,1606.5255088654487,62.303999999999995,"PJ",true
"volume_of_baseload_export_coal",0.0,1606.5255088654487,0.0,"PJ",true
"volume_of_baseload_export_cokes",0.0,1606.5255088654487,0.0,"PJ",true
"volume_of_baseload_export_crude_oil",0.0,1606.5255088654487,0.0,"PJ",true
"volume_of_baseload_export_diesel",0.0,1606.5255088654487,0.0,"PJ",true
"volume_of_baseload_export_gasoline",0.0,1606.5255088654487,0.0,"PJ",true
"volume_of_baseload_export_heavy_fuel_oil",0.0,1606.5255088654487,0.0,"PJ",true
"volume_of_baseload_export_hydrogen",0.0,1606.5255088654487,461.0,"PJ",true
"volume_of_baseload_export_kerosene",0.0,1606.5255088654487,0.0,"PJ",true
"volume_of_baseload_export_lignite",0.0,1606.5255088654487,0.0,"PJ",true
"volume_of_baseload_export_liquid_hydrogen",0.0,1606.5255088654487,0.0,"PJ",true
"volume_of_baseload_export_lng",0.0,1606.5255088654487,0.0,"PJ",true
"volume_of_baseload_export_lohc",0.0,1606.5255088654487,0.0,"PJ",true
"volume_of_baseload_export_lpg",0.0,1606.5255088654487,0.0,"PJ",true
"volume_of_baseload_export_network_gas",0.0,1606.5255088654487,0.0,"PJ",true
"households_cooker_halogen_electricity_share",0.0,100.0,0.0,"%",true
"households_cooker_induction_electricity_share",0.0,100.0,100.0,"%",true
"households_cooker_network_gas_share",0.0,100.0,0.0,"%",true
"households_cooker_resistive_electricity_share",0.0,100.0,0.0,"%",true
"households_cooker_wood_pellets_share",0.0,100.0,0.0,"%",true
"households_cooling_airconditioning_electricity_share",0.0,100.0,65.0,"%",true
"households_cooling_heatpump_air_water_electricity_share",0.0,100.0,29.0,"%",true
"households_cooling_heatpump_ground_water_electricity_share",0.0,100.0,6.0,"%",true
"households_cooling_heatpump_surface_water_water_ts_electricity_share",0.0,100.0,0.0,"%",true
"households_useful_demand_for_cooling",-15.0,15.0,9.0,"%",true
"households_useful_demand_cooking_per_person",-5.0,5.0,0.0,"%",true
"households_useful_demand_electric_appliances",-5.0,5.0,0.0,"%",true
"households_useful_demand_lighting",-5.0,5.0,0.0,"%",true
"households_appliances_clothes_dryer_electricity_efficiency",-36.0,69.0,27.0,"%",true
"households_appliances_computer_media_electricity_efficiency",-20.0,80.0,37.0,"%",true
"households_appliances_dishwasher_electricity_efficiency",-34.0,35.0,27.0,"%",true
"households_appliances_fridge_freezer_electricity_efficiency",-132.0,66.0,27.0,"%",true
"households_appliances_other_electricity_efficiency",-20.0,80.0,27.0,"%",true
"households_appliances_television_electricity_efficiency",-93.0,92.0,37.0,"%",true
"households_appliances_vacuum_cleaner_electricity_efficiency",-15.0,75.0,27.0,"%",true
"households_appliances_washing_machine_electricity_efficiency",-56.0,28.0,27.0,"%",true
"households_heater_coal_share",0.0,100.0,0.0,"%",true
"households_heater_combined_hydrogen_share",0.0,100.0,0.0,"%",true
"households_heater_combined_network_gas_share",0.0,100.0,0.0,"%",true
"households_heater_crude_oil_share",0.0,100.0,0.0,"%",true
"households_heater_district_heating_ht_steam_hot_water_share",0.0,100.0,0.0,"%",true
"households_heater_district_heating_lt_steam_hot_water_share",0.0,100.0,0.95,"%",true
"households_heater_district_heating_mt_steam_hot_water_share",0.0,100.0,19.05,"%",true
"households_heater_electricity_share",0.0,100.0,8.0,"%",true
"households_heater_heatpump_air_water_electricity_share",0.0,100.0,37.5,"%",true
"households_heater_heatpump_ground_water_electricity_share",0.0,100.0,12.5,"%",true
"households_heater_heatpump_pvt_electricity_share",0.0,100.0,0.0,"%",true
"households_heater_heatpump_surface_water_water_ts_electricity_share",0.0,100.0,0.0,"%",true
"households_heater_hybrid_crude_oil_heatpump_air_water_electricity_share",0.0,100.0,0.0,"%",true
"households_heater_hybrid_heatpump_air_water_electricity_share",0.0,100.0,22.0,"%",true
"households_heater_hybrid_hydrogen_heatpump_air_water_electricity_share",0.0,100.0,0.0,"%",true
"households_heater_network_gas_share",0.0,100.0,0.0,"%",true
"households_heater_wood_pellets_share",0.0,100.0,0.0,"%",true
"households_useful_demand_hot_water_share",-5.0,5.0,0.0,"%",true
"households_water_heater_solar_thermal_share",0.0,100.0,25.0,"%",true
"households_insulation_level_apartments_1945_1964",1.0,500.0,198.0,"kWh/m2",true
"households_insulation_level_apartments_1965_1984",1.0,500.0,170.0,"kWh/m2",true
"households_insulation_level_apartments_1985_2004",1.0,500.0,136.0,"kWh/m2",true
"households_insulation_level_apartments_2005_present",1.0,500.0,102.0,"kWh/m2",true
"households_insulation_level_apartments_before_1945",1.0,500.0,271.0,"kWh/m2",true
"households_insulation_level_apartments_future",1.0,500.0,55.0,"kWh/m2",true
"households_insulation_level_detached_houses_1945_1964",1.0,500.0,207.0,"kWh/m2",true
"households_insulation_level_detached_houses_1965_1984",1.0,500.0,172.0,"kWh/m2",true
"households_insulation_level_detached_houses_1985_2004",1.0,500.0,136.0,"kWh/m2",true
"households_insulation_level_detached_houses_2005_present",1.0,500.0,99.0,"kWh/m2",true
"households_insulation_level_detached_houses_before_1945",1.0,500.0,252.0,"kWh/m2",true
"households_insulation_level_detached_houses_future",1.0,500.0,52.0,"kWh/m2",true
"households_insulation_level_semi_detached_houses_1945_1964",1.0,500.0,192.0,"kWh/m2",true
"households_insulation_level_semi_detached_houses_1965_1984",1.0,500.0,166.0,"kWh/m2",true
"households_insulation_level_semi_detached_houses_1985_2004",1.0,500.0,137.0,"kWh/m2",true
"households_insulation_level_semi_detached_houses_2005_present",1.0,500.0,101.0,"kWh/m2",true
"households_insulation_level_semi_detached_houses_before_1945",1.0,500.0,238.0,"kWh/m2",true
"households_insulation_level_semi_detached_houses_future",1.0,500.0,51.0,"kWh/m2",true
"households_insulation_level_terraced_houses_1945_1964",1.0,500.0,261.0,"kWh/m2",true
"households_insulation_level_terraced_houses_1965_1984",1.0,500.0,203.0,"kWh/m2",true
"households_insulation_level_terraced_houses_1985_2004",1.0,500.0,140.0,"kWh/m2",true
"households_insulation_level_terraced_houses_2005_present",1.0,500.0,108.0,"kWh/m2",true
"households_insulation_level_terraced_houses_before_1945",1.0,500.0,283.0,"kWh/m2",true
"households_insulation_level_terraced_houses_future",1.0,500.0,52.0,"kWh/m2",true
"households_lighting_efficient_fluorescent_electricity_share",0.0,100.0,3.5,"%",true
"households_lighting_incandescent_electricity_share",0.0,100.0,0.0,"%",true
"households_lighting_led_electricity_share",0.0,100.0,96.5,"%",true
"households_behavior_low_temperature_washing",0.0,100.0,50.0,"%",true
"households_behavior_standby_killer_turn_off_appliances",0.0,100.0,50.0,"%",true
"households_behavior_turn_off_the_light",0.0,100.0,50.0,"%",true
"households_number_of_apartments_1945_1964",0.0,389344.0,330249.0,"#",true
"households_number_of_apartments_1965_1984",0.0,764434.0,729923.0,"#",true
"households_number_of_apartments_1985_2004",0.0,619871.0,606352.0,"#",true
"households_number_of_apartments_2005_present",0.0,488170.0,488170.0,"#",true
"households_number_of_apartments_before_1945",0.0,540698.0,518629.0,"#",true
"households_number_of_apartments_future",0.0,7936906.0,767742.0,"#",true
"households_number_of_detached_houses_1945_1964",0.0,143135.0,122233.0,"#",true
"households_number_of_detached_houses_1965_1984",0.0,231185.0,218979.0,"#",true
"households_number_of_detached_houses_1985_2004",0.0,252567.0,247785.0,"#",true
"households_number_of_detached_houses_2005_present",0.0,118330.0,118330.0,"#",true
"households_number_of_detached_houses_before_1945",0.0,285225.0,277419.0,"#",true
"households_number_of_detached_houses_future",0.0,7936906.0,272864.0,"#",true
"households_number_of_inhabitants",8.6410815,34.564326,19.950186,"#",true
"households_number_of_semi_detached_houses_1945_1964",0.0,298740.0,284633.0,"#",true
"households_number_of_semi_detached_houses_1965_1984",0.0,565690.0,557452.0,"#",true
"households_number_of_semi_detached_houses_1985_2004",0.0,379710.0,376483.0,"#",true
"households_number_of_semi_detached_houses_2005_present",0.0,178722.0,178722.0,"#",true
"households_number_of_semi_detached_houses_before_1945",0.0,303284.0,298016.0,"#",true
"households_number_of_semi_detached_houses_future",0.0,7936906.0,218846.0,"#",true
